synonym,target
yuyuyu,yuki-yuna-is-a-hero
kaguya-hime-no-monogatari,princess-kaguya
mahou-tsukai-tai,magic-users-club
shin-seiki-evangelion,neon-genesis-evangelion
sound-euphonium,hibike-euphonium
dungeon-ni-deai,danmachi
food-wars,shokugeki-no-soma
natsumachi,ano-natsu-de-matteru
waiting-in-the-summer,ano-natsu-de-matteru
my-bride-is-a-mermaid,seto-no-hanayome
selector-spread-wixoss,wixoss
selector-infected-wixoss,wixoss
monster-girl-quest,monmusu-quest
kuro-no-keiyakusha,darker-than-black
seraph-of-the-end,owari-no-seraph
maria-watches-over-us,maria-sama-ga-miteru
soredemo-sekai-utsukushii,soredemo-sekai-wa-utsukushii
houkago-no-pleiades,wish-upon-the-pleiades
world-is-still-beautiful,soredemo-sekai-wa-utsukushii
the-world-still-beautiful,soredemo-sekai-wa-utsukushii
gin-no-saji,silver-spoon
fma,fullmetal-alchemist-series
terror-in-tokyo,zankyou-no-terror
terror-in-resonance,zankyou-no-terror
blast-of-tempest,zetsuen-no-tempest
yuuki-yuuna-yuusha,yuki-yuna-is-a-hero
taiho-shichau-zo,youre-under-arrest
ookami-kodomo-ame-yuki,wolf-children
nhk-ni-youkoso,welcome-to-the-nhk
working,wagnaria
kakumeiki-valvrave,valvrave-the-liberator
the-eccentric-family,uchouten-kazoku
kami-nomi-zo-shiru-sekai,the-world-god-only-knows
yojouhan-shinwa-taikei,the-tatami-galaxy
ueki-no-housoku,the-law-of-ueki
uchuu-kyoudai,space-brothers
rage-of-bahamut,shingeki-no-bahamut
the-eotena-onslaught,attack-on-titan
kimiuso,your-lie-in-april
kids-on-the-slope,sakamichi-no-apollon
gake-no-ue-no-ponyo,ponyo
isshuukan-friends,one-week-friends
kaze-no-tani-no-nausicaa,nausicaa-of-the-valley-of-the-wind
ryuugajou-nanana,nananas-buried-treasure
nagiasu,nagi-no-asukara
tonari-no-totoro,my-neighbor-totoro
gekkan-shoujo-nozaki-kun,monthly-girls-nozaki-kun
princess-mononoke,mononoke-hime
koyomimonogatari,monogatari-series
koimonogatari,monogatari-series
owarimonogatari,monogatari-series
onimonogatari,monogatari-series
otorimonogatari,monogatari-series
ore-to-akuma-no-blues,me-and-the-devil-blues
marimite,maria-sama-ga-miteru
mahoyo,mahoutsukai-no-yoru
mahou-sensou,magical-warfare
puella-magi-madoka-magica,madoka-magica
toshokan-sensou,library-wars
grisaia-no-meikyuu,grisaia
grisaia-no-rakuen,grisaia
grisaia-no-kajitsu,grisaia
le-fruit-de-la-grisaia,grisaia
a-silent-voice,koe-no-katachi
from-me-to-you,kimi-ni-todoke
majo-no-takkyuubin,kikis-delivery-service
rakkyo,kara-no-kyoukai
the-garden-of-sinners,kara-no-kyoukai
kaichou-wa-maid-sama,maid-sama
jojo-no-kimyou-na-bouken,jojos-bizarre-adventure
hell-girl,jigoku-shoujo
kotenbu-series,hyouka
howl-no-ugoku-shiro,howls-moving-castle
wandering-son,hourou-musuko
hachimitsu-to-clover,honey-and-clover
fist-of-the-north-star,hokuto-no-ken
hanairo,hanasaku-iroha
ttgl,gurren-lagann
gto,great-teacher-onizuka
gits,ghost-in-the-shell
koukaku-kidoutai,ghost-in-the-shell
shinshi-doumei-cross,gentlemens-alliance-cross
mirai-shounen-conan,future-boy-conan
high-speed,free
last-exile-ginyoku-no-fam,fam-the-silver-wing
tasogare-otome-amnesia,dusk-maiden-of-amnesia
higashi-no-eden,eden-of-the-east
what-my-husband-is-saying,danna-wakaranai-ken
