Id,PostHistoryTypeId,PostId
8892,6,4304
8981,6,4347
9022,6,3395
9023,6,4361
9050,6,4360
9052,6,4374
9056,6,4377
9115,6,4406
9119,6,4405
9125,6,4406
9151,6,4420
9182,6,4434
9217,6,4448
9342,6,4489
9347,6,4497
9403,6,4529
9411,6,4529
9417,6,4526
9420,6,4526
9432,6,4538
9481,6,4561
9492,6,4561
9504,6,4572
9523,6,4347
9558,6,4246
9609,6,4620
9629,6,4507
9661,6,4652
9749,6,4678
9751,6,4677
9786,6,4645
9798,6,4645
9799,6,1552
9800,6,395
9801,6,3954
9803,6,3394
9813,6,4681
9822,6,4729
9867,6,4747
9873,6,4750
9901,6,4683
9942,6,4766
9943,6,4507
9944,6,3335
9957,6,4784
9959,6,4784
9960,6,3403
10006,6,4814
10018,6,4819
10022,6,4778
10038,6,4827
10044,6,4830
10066,6,4841
10067,6,2544
10069,6,280
10116,6,4851
10118,6,4324
10127,6,4868
10181,6,4873
10226,6,4913
10284,6,182
10326,6,4950
10343,6,4964
10394,6,270
10407,6,4922
10410,6,182
10468,6,4940
10579,6,5071
10583,6,5069
10597,6,5065
10602,6,5052
10606,6,5032
10652,6,5095
10654,6,5094
10658,6,5080
10663,6,5057
10668,6,5097
10696,6,5112
10738,6,5133
10740,6,5134
10820,6,5157
10873,6,5192
10885,6,5198
10886,6,182
10902,6,4314
10907,6,4314
10908,6,2471
10920,6,5209
10941,6,5218
10944,6,4980
10973,6,95
10985,6,5196
11025,6,5187
11030,6,3037
11041,6,5257
11045,6,5257
11046,6,5257
11047,6,5257
11048,6,5257
11062,6,5264
11079,6,5273
11119,6,5224
11121,6,182
11141,6,5257
11142,6,5257
11143,6,5291
11169,6,5306
11192,6,5314
11205,6,5322
11262,6,5282
11267,6,5257
11317,6,5369
11407,6,2659
11417,6,5403
11431,6,5417
11470,6,5435
11481,6,5440
11683,6,5466
11684,6,5459
11701,6,4408
11727,6,5571
11820,6,5459
11831,6,5615
11874,6,5647
11875,6,5642
11920,6,5575
11950,6,5536
11953,6,5571
12014,6,5687
12017,6,5612
12029,6,5691
12032,6,5620
12036,6,5699
12043,6,5700
12049,6,5418
12053,6,5536
12105,6,5720
12128,6,5734
12130,6,5734
12131,6,5710
12159,6,5744
12162,6,5746
12164,6,5748
12188,6,5758
12189,6,5734
12202,6,5763
12213,6,5708
12249,6,4672
12253,6,5786
12277,6,5790
12278,6,5795
12310,6,5818
12350,6,5831
12368,6,5809
12373,6,5817
12381,6,5795
12422,6,5862
12435,6,5868
12509,6,5868
12510,6,5868
12548,6,5911
12591,6,5459
12620,6,5951
12639,6,5956
12642,6,5960
12649,6,5907
12678,6,5976
12720,6,5996
12754,6,5901
12761,6,5998
12766,6,5929
12773,6,6004
12817,6,5612
12821,6,6033
12826,6,6035
12839,6,6048
12849,6,108
12882,6,6059
12901,6,6078
12911,6,6078
12913,6,6055
12960,6,6075
12984,6,6107
13005,6,6129
13019,6,6135
13055,6,6136
13069,6,6126
13079,6,6162
13097,6,6175
13183,6,6217
13188,6,6197
13189,6,6211
13193,6,6200
13200,6,6200
13209,6,6228
13220,6,6192
13233,6,6237
13251,6,6229
13277,6,6171
13292,6,6263
13302,6,6267
13308,6,4606
13359,6,6291
13494,6,6363
13570,6,6328
13572,6,6404
13586,6,6307
13592,6,6276
13594,6,6317
13596,6,6337
13659,6,6361
13672,6,6358
13700,6,6276
13753,6,6479
13778,6,6480
13789,6,6479
13813,6,4905
13824,6,5749
13837,6,6499
13838,6,6499
13842,6,6507
13846,6,6499
13861,6,6522
13875,6,6485
13893,6,6537
13961,6,6558
13985,6,6575
13995,6,6578
14038,6,6491
14074,6,6615
14084,6,6370
14102,6,6623
14107,6,6628
14113,6,6574
14149,6,6654
14161,6,6507
14162,6,6092
14268,6,6710
14275,6,6676
14278,6,6646
14297,6,6710
14303,6,6724
14321,6,6732
14430,6,6784
14432,6,6756
14436,6,6737
14444,6,6751
14447,6,6796
14450,6,6755
14455,6,6453
14465,6,6801
14476,6,6784
14480,6,6805
14502,6,6819
14506,6,6809
14520,6,6720
14525,6,6097
14569,6,6832
14608,6,6861
14626,6,6718
14668,6,6868
14682,6,6849
14777,6,6942
14808,6,6946
14853,6,6969
14863,6,1784
14897,6,7001
14901,6,6995
14906,6,6936
14909,6,7002
14914,6,1020
14944,6,6796
14946,6,5699
14950,6,7014
14956,6,7018
14972,6,7013
15020,6,7043
15022,6,6677
15023,6,6971
15027,6,5121
15028,6,270
15029,6,108
15035,6,657
15161,6,5793
15209,6,7121
15211,6,7114
15213,6,4279
15215,6,7138
15217,6,7079
15219,6,6751
15225,6,7097
15227,6,2454
15230,6,7070
15336,6,7190
15348,6,7196
15349,6,7177
15350,6,2578
15356,6,5486
15377,6,7202
15429,6,7200
15435,6,7161
15436,6,7138
15442,6,6994
15450,6,6001
15464,6,7241
15567,6,7283
15569,6,7257
15571,6,7292
15610,6,6951
15624,6,5369
15653,6,7285
15666,6,7342
15678,6,7347
15682,6,7189
15712,6,7351
15754,6,7373
15755,6,7372
15761,6,7377
15764,6,7377
15777,6,7264
15803,6,5486
15805,6,7369
15849,6,7411
15958,6,7461
15990,6,6705
16022,6,7489
16024,6,7483
16026,6,7461
16031,6,7443
16041,6,7445
16050,6,7498
16122,6,7537
16144,6,1082
16160,6,5170
16164,6,6340
16169,6,1042
